id,market_cap,daily_volume,market_cap_percent,market_cap_$,daily_volume_$,mcap_percent
VITE,8795870,491499.55,0.0,$0.01B,$0.00B,$0.01B (0.0%)
AOA2,8763697,561182.62,0.0,$0.01B,$0.00B,$0.01B (0.0%)
SRN,8697992,1183965.32,0.0,$0.01B,$0.00B,$0.01B (0.0%)
VALOR,8684680,194915.75,0.0,$0.01B,$0.00B,$0.01B (0.0%)
SEELE,8638305,25866648.54,0.0,$0.01B,$0.03B,$0.01B (0.0%)
RFUEL,8624674,1476254.52,0.0,$0.01B,$0.00B,$0.01B (0.0%)
PAC,8587571,2126.02,0.0,$0.01B,$0.00B,$0.01B (0.0%)
SAN,8541242,8100.64,0.0,$0.01B,$0.00B,$0.01B (0.0%)
NAV,8492394,73961.36,0.0,$0.01B,$0.00B,$0.01B (0.0%)
TEL,8446035,119450.68,0.0,$0.01B,$0.00B,$0.01B (0.0%)
DMT,8445043,350717.76,0.0,$0.01B,$0.00B,$0.01B (0.0%)
PLA3,8441983,755199.57,0.0,$0.01B,$0.00B,$0.01B (0.0%)
SENT,8161730,47124.68,0.0,$0.01B,$0.00B,$0.01B (0.0%)
OST,8115669,2506212.04,0.0,$0.01B,$0.00B,$0.01B (0.0%)
GHST,8074581,21391805.32,0.0,$0.01B,$0.02B,$0.01B (0.0%)
SMART,8073597,116944.14,0.0,$0.01B,$0.00B,$0.01B (0.0%)
FOAM,8037618,21091.45,0.0,$0.01B,$0.00B,$0.01B (0.0%)
SNL,8007916,540176.01,0.0,$0.01B,$0.00B,$0.01B (0.0%)
DOCK,7871231,3423401.77,0.0,$0.01B,$0.00B,$0.01B (0.0%)
ABT,7837815,5018812.07,0.0,$0.01B,$0.01B,$0.01B (0.0%)
BLOCK,7819540,6710.2,0.0,$0.01B,$0.00B,$0.01B (0.0%)
CBAT,7804814,3571.5,0.0,$0.01B,$0.00B,$0.01B (0.0%)
NEBL,7737659,142977.25,0.0,$0.01B,$0.00B,$0.01B (0.0%)
UBQ,7702037,11981.26,0.0,$0.01B,$0.00B,$0.01B (0.0%)
UPP,7588077,488176.02,0.0,$0.01B,$0.00B,$0.01B (0.0%)
GEN,7449754,298699.84,0.0,$0.01B,$0.00B,$0.01B (0.0%)
CUT,7338271,19646.32,0.0,$0.01B,$0.00B,$0.01B (0.0%)
TNB,7265916,186599.1,0.0,$0.01B,$0.00B,$0.01B (0.0%)
